Number Name Size Length Width Height OriginalFrameCount SettingFrameCount OriginalFrameRate SettingFrameRate Time
2738 cc883eb4-7772-4ef8-bd85-2c9cb5c6565d.mp4 211049937 299.37 1440 1080 8981 299 30.0 1.0 0.52
2739 a9d3d47f-7c54-4f34-993f-8b81e83ac032.mp4 418951392 1180.57 1920 1080 35417 1180 30.0 1.0 0.57
2740 85273a34-35f8-4da6-8295-ec52f42aea65.mp4 63985911 42.8 2560 1920 1284 42 30.0 1.0 0.42
2741 f4f76ace-2b4b-4e7a-b380-cc08f7642223.mp4 658805834 1950.27 1920 1080 58508 1950 30.0 1.0 0.64
2742 eefcde42-5ea1-4a85-9f34-72c3ceca50f6.mp4 1580465410 3085.09 1440 1080 92552 3085 30.0 1.0 0.67
2743 4cc41843-37da-4a19-baab-01eb51744a7f.mp4 863284440 1428.3 2560 1920 42849 1428 30.0 1.0 0.49
2744 e29ef075-382f-4cff-8e2b-4f2db867b362.mp4 84128174 277.07 2560 1920 8312 277 30.0 1.0 0.41
2745 debfb68a-eae2-464e-847a-cd3fea23f3ca.mp4 198719245 1422.48 1440 1080 42674 1422 30.0 1.0 0.56
2746 f89e52da-01ee-4773-95ca-e8a5431ccd65.mp4 420795378 1888.23 1920 1080 56646 1888 30.0 1.0 0.63
2747 84a4062c-b57f-42f0-8b94-d5d9e0ee67d4.mp4 152796994 993.87 1440 1080 29816 993 30.0 1.0 0.55
2748 c7b79307-12d5-4502-8a97-0d272d48853c.mp4 28924638 35.43 2560 1920 1062 35 30.0 1.0 0.48
2749 aea15e04-4b56-4e8e-a58c-427c6105deb7.mp4 19034660 133.23 1440 1080 3996 133 30.0 1.0 0.55
2750 43299c49-5466-44c0-b786-1100467ef836.mp4 8558526 20.57 1440 1080 617 20 30.0 1.0 0.53
2751 eb654d6a-cfc2-4301-9c28-e4340cb8eb68.mp4 37059862 85.38 1920 1440 2561 85 30.0 1.0 0.61
2752 2ff3fee9-1073-4201-b0c5-2cb0292e4d00.mp4 399392523 708.03 1920 1440 21240 708 30.0 1.0 0.59
2753 f1fdd432-588f-43c7-bacc-96d630e5371f.mp4 805393379 2764.57 1920 1080 82937 2764 30.0 1.0 0.35
2754 bdb29a9e-d6d4-4918-9870-464abeae48d2.mp4 142480331 1181.3 1440 1080 35439 1181 30.0 1.0 0.57
2755 c3065f43-abc1-4868-84fd-3f937010fd17.mp4 3014053384 7219.18 1920 1080 216575 7219 30.0 1.0 1.21
2756 8c3c68c9-eeec-4f51-881f-3cc6340679ec.mp4 440406958 1498.71 1920 1080 44961 1498 30.0 1.0 0.68
2757 e6b7692d-5e35-4524-8d2a-385475b95806.mp4 743583501 4075.4700000000003 1440 1080 122264 4075 30.0 1.0 0.31
2758 08f85510-4ced-46ba-bb80-33eae8fed6d8.mp4 118646790 842.55 1440 1080 25276 842 30.0 1.0 0.53
2759 0c192ca8-1ede-4ef0-a05e-2f4151b6bdfc.mp4 27552531 282.97 1440 1080 8489 282 30.0 1.0 0.48
2760 54389f9b-eff9-49e1-9da9-f2ad86254515.mp4 132991171 832.57 1440 1080 24977 832 30.0 1.0 0.51
2761 97c4026f-5fbe-49b3-a7e0-5a31edc05ae7.mp4 171773332 325.9 2560 1920 9777 325 30.0 1.0 0.39
2762 deea34e6-97d6-42a3-bfd3-e71e200b1d9a.mp4 300510674 1799.13 1920 1440 53973 1799 30.0 1.0 0.61
2763 70e81c43-3bf3-4a3c-81df-16f5108a6918.mp4 190177123 1712.37 1440 1080 51371 1712 30.0 1.0 0.54
2764 95f2caf6-c6f5-4471-9763-2957e248eb58.mp4 5163756467 14431.8 1920 1080 432954 14431 30.0 1.0 0.41
2765 a8a20029-3051-4591-901a-6af8dbc268c8.mp4 2646964253 1084.13 2560 1920 32523 1084 30.0 1.0 0.53
2766 5e375fea-f689-4488-b47e-12380ba91e6b.mp4 93721766 323.03 1920 1440 9690 323 30.0 1.0 0.58
2767 6b7fc6db-e979-43a0-b61f-7dced89d423d.mp4 470771212 1359.34 1920 1080 40780 1359 30.0 1.0 0.61
2768 d1d1b6da-e7f8-48e7-9ee4-d8382582695a.mp4 508677312 1063.25 1920 1440 31897 1063 30.0 1.0 0.71
2769 e4dc253e-e5be-4b1e-89c2-ab1a47c486b0.mp4 317317122 3174.22 1440 1080 95226 3174 30.0 1.0 0.61
2770 295701f1-622f-46f0-b720-272517fdf4c2.mp4 202557320 236.3 1920 1080 7089 236 30.0 1.0 0.57
2771 682425e6-c790-488b-8172-832f896a1dea.mp4 1430298047 5273.89 1440 1080 158216 5273 30.0 1.0 0.70
2772 20b55b91-2515-4d72-9f0e-5a6e881504e6.mp4 3266691709 825.93 2560 1920 24777 825 30.0 1.0 0.43
2773 a887acbe-efd5-48e2-ad8b-8e22a3c654d2.mp4 219676752 480.38 1920 1440 14411 480 30.0 1.0 0.70
2774 24a69341-ecd7-4a87-a7ed-de4421b77ecf.mp4 76947359 531.77 2560 1920 15953 531 30.0 1.0 0.41
2775 06210c51-128d-478c-b6ec-5c4a13d926d5.mp4 25006397 220.93 1440 1080 6627 220 30.0 1.0 0.50
2776 9c785597-7d3e-4831-a8b9-9e640e3bbb83.mp4 125748722 352.27 1440 1080 10568 352 30.0 1.0 0.26
2777 d02bd0da-e84e-40b8-81d7-47106f1911ae.mp4 319657512 671.53 1440 1080 20145 671 30.0 1.0 0.55
2778 8e0f4277-a1bd-42c4-8235-ebfb2c99f7ed.mp4 548733825 3165.33 1920 1080 94959 3165 30.0 1.0 0.70
2779 1da766ee-3e09-4e46-9e0c-37b9919c1131.mp4 13692086 106.97 1440 1080 3209 106 30.0 1.0 0.51
2780 9277371e-6930-4016-80d3-13b1c0c08683.mp4 141691323 339.90999999999997 1920 1440 10197 339 30.0 1.0 1.03
2781 dd4028dc-bc21-4209-9ea6-fbb49ce6628f.mp4 164437835 567.62 1920 1080 17028 567 30.0 1.0 0.58
2782 330c1e0d-b71a-452e-8b68-fdb96fa8a6ca.mp4 485938271 1521.09 1920 1080 45632 1521 30.0 1.0 0.64
2783 aeff249b-03b9-43f6-9d78-0fc007548c69.mp4 27430632 275.2 1440 1080 8256 275 30.0 1.0 0.53
2784 11c5ba95-0abf-48e7-b738-57bc2428848f.mp4 512043531 1668.43 1920 1440 50052 1668 30.0 1.0 0.34
2785 dc822d9c-3b09-4b63-86cc-81cecf29b259.mp4 190855020 253.43 1920 1080 7602 253 30.0 1.0 0.36
2786 30597c19-25df-4bcf-811a-1c87a69de9f8.mp4 17965890 91.09 1440 1080 2732 91 30.0 1.0 0.47
2787 d7480d27-f607-4a5a-8c31-9d299f70a4b8.mp4 4438879189 3859.4 1440 1080 115782 3859 30.0 1.0 0.87
2788 857ba2af-a390-4b83-88cb-7512b3228bd3.mp4 4394234297 1091.07 1920 1440 32732 1091 30.0 1.0 0.45
2789 583730aa-4222-47bf-a78d-d29a6738a695.mp4 343245922 1178.93 2560 1920 35367 1178 30.0 1.0 0.41
2790 b190d371-f806-4f6a-9af3-df12f1af0934.mp4 633891588 1063.13 2560 1920 31893 1063 30.0 1.0 0.45
2791 c058dd9b-c4f5-4f0e-b08e-3b62ecdd1695.mp4 626936242 973.07 2560 1920 29192 973 30.0 1.0 0.45
2792 4bca16b7-0ea7-4220-8941-72c1df830a78.mp4 50730454 174.43 1920 1080 5232 174 30.0 1.0 0.33
2793 ffe22125-67ae-4ee1-9f11-2b2df706d1b6.mp4 4811999820 1693.9 2560 1920 50817 1693 30.0 1.0 0.43
2794 6cfd4523-f22c-46c3-9d1a-8f9c4ada827d.mp4 1743944220 5184.93 1440 1080 155547 5184 30.0 1.0 0.67
2795 0e417ecf-8900-484b-bfb3-ccafef9a185b.mp4 443061199 1805.9 1440 1080 54177 1805 30.0 1.0 0.31
2796 10fe0677-6ee2-4252-b007-e75a3797e807.mp4 310322342 1058.09 1440 1080 31742 1058 30.0 1.0 0.58
2797 937ce95b-1fd0-4a2b-a9ed-8f9359dd38f1.mp4 1310058727 4092.4700000000003 2560 1920 122774 4092 30.0 1.0 0.47
2798 af72c57c-b242-48b2-8d00-aea29f4e37ac.mp4 1759096743 1800.03 1920 1080 54000 1800 30.0 1.0 0.56
2799 d38a1871-1233-403f-8031-c3183b6c36ec.mp4 355665939 1310.71 1920 1080 39321 1310 30.0 1.0 0.58
2800 9827a535-6963-434f-ad79-1940aa622c22.mp4 1281575554 1408.23 1440 1080 42246 1408 30.0 1.0 0.29
2801 64747fa7-c7b9-46fc-ac9d-ea9a514d91df.mp4 223641018 1058.07 1440 1080 31742 1058 30.0 1.0 0.51
2802 659914fd-a373-4bd4-b266-c839ef30bb11.mp4 573711213 1913.85 1920 1440 57415 1913 30.0 1.0 0.62
2803 fca54257-021f-49a4-99ff-278c8f1dc217.mp4 96068842 353.96 1440 1080 10618 353 30.0 1.0 0.53
2804 d4039a4a-212b-4fbe-a499-99e47fcf9e46.mp4 59081843 154.67000000000002 1440 1080 4640 154 30.0 1.0 0.51
2805 bc95b190-02a0-435a-a7cf-90d20ae0e23a.mp4 402531643 1050.83 1920 1080 31524 1050 30.0 1.0 0.60
2806 c9595c28-a46b-4571-9796-3802af307bf2.mp4 489733345 1573.09 1920 1080 47192 1573 30.0 1.0 0.59
2807 5cff48d5-d4e3-465f-8302-64cd493aba53.mp4 1331818011 4626.1 1440 1080 138783 4626 30.0 1.0 1.16
2808 fec31c20-1910-4ab1-afc5-6aa3057a45f5.mp4 594342031 2188.27 1920 1080 65648 2188 30.0 1.0 0.71
2809 24902050-6f9d-42bc-aa7d-ecf468d89eef.mp4 184434005 260.1 1440 1080 7803 260 30.0 1.0 0.56
2810 4307147d-0cfe-4fdb-90d2-d7503f3b5dfc.mp4 875362877 1058.07 1440 1080 31742 1058 30.0 1.0 0.78
2811 15111159-4309-4a14-be23-cbfe27a61d83.mp4 446013451 592.23 1920 1440 17766 592 30.0 1.0 0.41
2812 4ab4ab8c-99a9-43ca-ac33-eb9304002c34.mp4 95103414 597.83 1440 1080 17934 597 30.0 1.0 0.48
2813 b66ea141-bf13-4129-a94b-dc296ad83153.mp4 1622065477 605.0 1440 2880 18150 605 30.0 1.0 0.51
2814 cd4a46ba-548f-41bc-910b-4b0bc7fe5d9f.mp4 441212745 926.0 1440 1080 27780 926 30.0 1.0 0.55
2815 d473aaa0-4e1e-4b4a-a0f0-18a47a17b548.mp4 290596280 1325.29 1440 1080 39758 1325 30.0 1.0 0.53
2816 34f1149c-d8d5-467c-9e3c-3b59d6393f41.mp4 2255584133 2632.56 1440 1080 78976 2632 30.0 1.0 0.71
2817 380de10c-99d3-4270-b908-6765c388a116.mp4 1533802613 785.57 1440 1080 23567 785 30.0 1.0 0.73
2818 c5270067-6c25-45f2-b63a-1a55b85020ad.mp4 649137618 2363.17 1920 1080 70895 2363 30.0 1.0 0.31
2819 a8096de6-1f29-4d82-9fb1-833e8d4277fa.mp4 6494786 64.06 1440 1080 1921 64 30.0 1.0 0.51
2820 17305a86-298d-43cb-9ab2-032eebf565bb.mp4 2288430121 4201.93 1920 1440 126057 4201 30.0 1.0 0.37
2821 29e45749-f8d5-42c7-af09-7fbb3d6697e9.mp4 887455474 1800.13 1920 1080 54003 1800 30.0 1.0 0.62
2822 e8f48d36-cb56-4155-94d5-d7cef44fed12.mp4 983105692 2153.77 2560 1920 64613 2153 30.0 1.0 0.41
2823 883c2e5a-abc9-424a-9d63-379499652096.mp4 232157772 905.57 1440 1080 27167 905 30.0 1.0 0.26
2824 e826857f-8b94-4168-bc5a-7aaff9cdc7c0.mp4 200119914 744.44 1920 1440 22333 744 30.0 1.0 0.59
2825 ae638495-30c4-4481-9222-2874f01d0062.mp4 21216012 66.6 1920 1440 1997 66 30.0 1.0 0.35
2826 38a7b760-56f9-4565-8b70-f8dad5768ace.mp4 662906299 1800.0 1920 1080 54000 1800 30.0 1.0 0.33
2827 50f31d76-6f29-4f80-b654-9437a0113bf5.mp4 458790972 2366.73 1440 1080 71001 2366 30.0 1.0 0.32
2828 a5fe04fd-4224-4a95-a3df-33d339570a0d.mp4 49036181 455.97 1440 1080 13679 455 30.0 1.0 0.56
2829 70340e70-bfd5-45d7-8014-23c76dd8e065.mp4 702235232 2116.16 1440 1080 63484 2116 30.0 1.0 0.67
2830 cdc90265-d98e-409c-ab31-435ed3b90763.mp4 2137910204 1238.77 2560 1920 37163 1238 30.0 1.0 0.50
2831 a9995506-7521-4aed-b0dd-dd059a57d236.mp4 180756999 1058.09 1440 1080 31742 1058 30.0 1.0 0.55
2832 65c16752-c157-4a21-9654-d980f8fdf36c.mp4 177981831 572.53 1440 1080 17175 572 30.0 1.0 0.54
2833 313cc9d1-c87f-44ec-9900-3ee8d75389be.mp4 527931036 832.5 1920 1440 24975 832 30.0 1.0 0.34
2834 9e0594bd-15a5-4ae7-afa0-9283683ae1f2.mp4 1347208531 1922.81 1440 1080 57684 1922 30.0 1.0 1.53
2835 84322f50-7fce-4d49-a04b-9ecd7afd4119.mp4 456839451 708.03 1920 1440 21240 708 30.0 1.0 0.66
2836 81bb7d9f-31c1-4ef6-a4be-12284c641ec6.mp4 331126854 708.03 1920 1440 21240 708 30.0 1.0 0.62
2837 f2420e55-e559-40e1-9c96-863c6be763fd.mp4 373030429 2483.0 1440 1080 74490 2483 30.0 1.0 0.59
2838 5dcbcc43-6220-457a-8e79-36ef9997eb90.mp4 45107804 404.17 1440 1080 12125 404 30.0 1.0 0.28
2839 9ea8ed74-10f8-41ef-ba83-7744a453049f.mp4 3761113 23.8 1440 1080 714 23 30.0 1.0 0.53
2840 5db94cc4-a001-4f0b-b541-0fd2a7873a9e.mp4 334176868 442.57 2560 1920 13277 442 30.0 1.0 0.46
2841 a1614078-136a-4a11-a26d-abb4ced09c7d.mp4 194348281 482.97 1920 1440 14489 482 30.0 1.0 0.68
2842 e34c6f5e-5453-4e6b-b54c-be31d342cc72.mp4 286641627 740.53 1920 1080 22215 740 30.0 1.0 0.31
2843 083f9d41-dd36-4bf9-a6de-8bd1c2f0cba1.mp4 1102219420 2564.93 2560 1920 76947 2564 30.0 1.0 0.42
2844 71d1e89d-69ed-4a45-a4c6-61510f6d2dd2.mp4 149169141 1658.5 1440 1080 49755 1658 30.0 1.0 0.61
2845 0daaa66c-fb5f-4680-b84c-2f65f0f0bd9b.mp4 644767318 1334.17 1440 1080 40025 1334 30.0 1.0 0.33
2846 3bdd03fb-53c3-4c57-a720-86a71a0333b2.mp4 43293643 302.73 1920 1080 9081 302 30.0 1.0 0.35
2847 5c88d38c-215a-4989-88be-2d9df9f36a5b.mp4 315153659 726.05 2880 1080 21781 726 30.0 1.0 0.72
2848 4d19cd93-f45a-4b94-aecd-6a4be2e524ec.mp4 976758705 1582.63 1920 1080 47478 1582 30.0 1.0 0.35
2849 f4a72335-18d8-42d2-94a5-9dd8b4a4d388.mp4 202949638 330.37 1920 1440 9911 330 30.0 1.0 0.63
2850 e791d26e-4c9a-42d2-a64c-9a2dcf9500a6.mp4 554559927 1909.0 1920 1080 57270 1909 30.0 1.0 0.66
2851 25ade38d-3e6b-4aa1-851d-7fbf791201c0.mp4 80944997 1134.2 1440 1080 34026 1134 30.0 1.0 0.51
2852 d27d4db8-c1c5-46e0-af9f-bc9aa24f1d4c.mp4 120626034 4232.29 1440 1080 126968 4232 30.0 1.0 0.60
2853 98334b78-967f-4980-ba86-56d34b4aaf2e.mp4 434005897 1192.19 1920 1080 35765 1192 30.0 1.0 0.60
2854 f1439c15-8c96-4894-8091-8a4090b21640.mp4 796222233 1800.03 1920 1080 54000 1800 30.0 1.0 0.65
2855 6395f964-0122-4f16-b036-337c28488504.mp4 2726870942 7266.53 1920 1080 217995 7266 30.0 1.0 0.39
2856 ec143498-9db7-4ee7-a0cf-43538717e570.mp4 309053825 721.47 1920 1080 21644 721 30.0 1.0 0.34
2857 fd219bf7-c0f5-4782-9178-a97c57a5009b.mp4 213552708 651.35 1920 1080 19540 651 30.0 1.0 0.58
2858 bc97dac7-4550-4f65-b756-6978d02a1142.mp4 538475707 1900.03 1920 1080 57000 1900 30.0 1.0 0.61
2859 719bf9c4-a216-4166-963b-80ece9f87a48.mp4 380226223 1878.73 1920 1440 56361 1878 30.0 1.0 0.66
2860 bd119b71-b96d-46f1-95d5-c46bc63e61be.mp4 440097591 1137.32 1920 1080 34119 1137 30.0 1.0 1.05
2861 b491e3c2-80b4-441f-908b-814cf80d57e6.mp4 1322892991 2750.51 1920 1440 82515 2750 30.0 1.0 0.71
2862 b148c2bd-349a-4c3d-af5c-6791c300bea9.mp4 529814600 1285.3 1440 1080 38559 1285 30.0 1.0 0.66
2863 90398a2b-de6b-4232-9bea-149c48cb1326.mp4 974790552 2332.43 1440 1080 69972 2332 30.0 1.0 0.63
2864 95836c4a-e856-4c04-9c68-800b154b6bc6.mp4 5616779 49.13 1440 1080 1473 49 30.0 1.0 0.44
2865 a9d38665-1aa0-4331-818b-fc7bdd69b6aa.mp4 699559998 1058.09 1440 1080 31742 1058 30.0 1.0 0.57
2866 bae603bd-dc3d-46a4-90b7-9c1e2bcd3970.mp4 350057785 2585.68 1440 1080 77570 2585 30.0 1.0 0.60
2867 748536e4-636a-4dc6-b1a7-d9cbfdc1cffd.mp4 191059072 1500.48 1440 1080 45014 1500 30.0 1.0 0.54
2868 6362c66e-473f-4a09-a736-6425165aa63d.mp4 12780701 105.96000000000001 1440 1080 3178 105 30.0 1.0 0.50
2869 90f98d72-e136-4e3f-b2e7-4fefed2247e6.mp4 161827659 742.2 1440 1080 22266 742 30.0 1.0 0.27
2870 4f035fa4-f388-4645-add7-89c4a0170099.mp4 363118239 708.01 1920 1440 21240 708 30.0 1.0 0.60
2871 fc8cd995-ae0f-43a8-96e1-9d3e1d7c29ce.mp4 354085368 2204.3 1440 1080 66129 2204 30.0 1.0 0.32
2872 0e7620e8-f1b5-4093-aff9-d73ab0039e08.mp4 1324318364 1133.47 1920 1440 34004 1133 30.0 1.0 0.67
2873 3f3847ad-575c-4779-b629-9cdc5b84f776.mp4 2551530092 1381.4 2560 1920 41442 1381 30.0 1.0 0.53
2874 da87db85-eb86-4353-98b5-a3db81b4c9e5.mp4 761956818 1058.09 1440 1080 31742 1058 30.0 1.0 0.63
2875 f5a98872-667b-4bfc-8e46-bdaf582a0c23.mp4 351316712 1402.86 1280 720 42085 1402 30.0 1.0 0.53
2876 de4cc734-7b46-41f5-a266-2ac20db53f79.mp4 424040762 1430.74 1920 1080 42922 1430 30.0 1.0 0.63
2877 62623424-f671-4380-b12c-1acdb04afeee.mp4 171141537 1426.73 1920 1080 42801 1426 30.0 1.0 0.61
2878 0d270946-95c5-4e71-ae49-b9e802548147.mp4 266689710 1386.0 1440 1080 41580 1386 30.0 1.0 0.55
2879 96a72022-f4b6-458e-b136-cd97336fb687.mp4 161316002 279.5 1440 1080 8385 279 30.0 1.0 0.27
2880 588dfc03-9c6b-4402-8a6b-f99867a24674.mp4 912941578 3958.17 1920 1440 118745 3958 30.0 1.0 0.37
2881 a7a4014b-f938-49ca-bd5f-f5bb88843ac4.mp4 52222282 147.67000000000002 1440 1080 4430 147 30.0 1.0 0.27
2882 7cc23193-d618-4777-9b84-b88bd69ae5cb.mp4 21429833 140.47 2560 1920 4214 140 30.0 1.0 0.41
2883 c3af150d-6f33-4ad2-8191-d0f9164506ac.mp4 686017991 3751.0 1440 1080 112530 3751 30.0 1.0 0.66
2884 7f4665ed-5b40-43da-a35f-f4d6ea8a5d57.mp4 149488041 410.2 1920 1080 12306 410 30.0 1.0 0.69
2885 baac3a43-bb27-425a-8389-9641381478ca.mp4 136015625 2116.16 1440 1080 63484 2116 30.0 1.0 0.95
2886 c7e0c1d9-3481-4a40-9ce7-c4ab39a032db.mp4 798879501 933.7 1920 1440 28011 933 30.0 1.0 0.34
2887 d2a7789e-7427-401c-afd2-67f7bc2d23e4.mp4 132796295 1058.09 1440 1080 31742 1058 30.0 1.0 0.50
2888 0959d7f3-0e58-486f-a21c-ec82b321469c.mp4 12373129220 3778.63 2560 1920 113358 3778 30.0 1.0 0.56
2889 565d83f1-0c21-4f4a-a4d1-ffb336c554ef.mp4 81050903 128.62 1920 1440 3858 128 30.0 1.0 0.63
2890 739c2ece-23c5-458e-9500-66bcef2f8945.mp4 508112732 5001.43 1440 1080 150042 5001 30.0 1.0 0.37
2891 58d22d9d-ce0b-4224-9064-0075186ca9f5.mp4 760538540 1800.17 1920 1080 54005 1800 30.0 1.0 0.61
2892 ed01aa4d-c22a-41c3-ae2d-51fb03284520.mp4 389077448 1454.8 1920 1080 43644 1454 30.0 1.0 0.37
2893 e6f1accd-e18d-43ec-b854-e7633b15cbf7.mp4 365330617 3242.53 1440 1080 97275 3242 30.0 1.0 0.66
2894 e989b029-509c-42de-801c-2d6d547967d2.mp4 86395020 272.1 1440 1080 8163 272 30.0 1.0 0.30
2895 950838c9-0285-41b6-b600-b1a1918ceb73.mp4 490213032 1441.92 1920 1080 43257 1441 30.0 1.0 0.62
2896 1ccb9c50-63b2-440c-95d8-6aee8f642abe.mp4 3294950377 1501.0 1440 2880 45030 1501 30.0 1.0 0.49
2897 bc4faf30-945c-4bb5-bbaf-3a327654596d.mp4 76071126 1176.8 1440 1080 35304 1176 30.0 1.0 0.56
2898 96e231f7-fa0b-4c98-99c8-3edfbe765cb3.mp4 358472332 708.01 1920 1440 21240 708 30.0 1.0 0.64
2899 c971a9f2-0599-4596-b22b-549f94d3b811.mp4 354563938 1951.13 1440 1080 58533 1951 30.0 1.0 0.31
2900 0d6a065b-3fcd-4537-8148-bc55d2ee3055.mp4 256328637 1058.09 1440 1080 31742 1058 30.0 1.0 0.57
2901 4767de01-96e1-4cf4-80f4-1c9d3acd26ed.mp4 1142459740 661.6 1920 1080 19848 661 30.0 1.0 0.59
2902 edd7c8bc-4b17-4c2c-89d1-16de9e7f8fd9.mp4 564767769 1080.2 1920 1440 32406 1080 30.0 1.0 0.37
2903 7152d311-7801-487c-a6ed-a746e6abaa1f.mp4 173817102 730.13 1440 1080 21903 730 30.0 1.0 0.56
2904 08314a38-1885-4fa4-bf92-3c6f4185a5cd.mp4 1483298436 4364.24 1440 1080 130927 4364 30.0 1.0 0.68
2905 d02c15ec-c5de-46be-ab63-00473672453f.mp4 1971696840 823.84 1920 1440 24715 823 30.0 1.0 0.75
2906 1ab9d5f7-0181-458e-a5e7-72ce87501f3e.mp4 302924451 571.39 1920 1440 17141 571 30.0 1.0 0.66
2907 9423d805-13a8-4281-bd68-ed4a3b0c449c.mp4 487157433 1403.43 2560 1920 42102 1403 30.0 1.0 0.43
2908 cd392798-cf51-43e7-a4d8-9299847c7022.mp4 1753815873 2190.16 1440 1080 65704 2190 30.0 1.0 0.73
2909 548bbb70-7d10-42f6-95a7-489e3524faa5.mp4 663756878 708.01 1920 1440 21240 708 30.0 1.0 0.80
2910 e632abb5-783b-4aee-88e4-ff5e36c849e3.mp4 166955432 611.37 1920 1440 18341 611 30.0 1.0 0.34
2911 39d1462e-506c-482b-9c9e-a94cffd71563.mp4 625693968 3493.11 1440 1080 104793 3493 30.0 1.0 0.64
2912 6d14a0f7-194e-4b3a-92e6-2f0853dc476b.mp4 72443422 404.95 1920 1080 12148 404 30.0 1.0 1.04
2913 5c7e18a2-1499-4158-9d46-ba1c50427ca2.mp4 37120472 78.1 1920 1440 2343 78 30.0 1.0 0.38
2914 9c50dcc2-f3af-4529-afce-fec005c78a39.mp4 665891863 1691.42 1920 1080 50742 1691 30.0 1.0 0.69
2915 49b14463-2172-4b0e-ad13-fdf9383e9a77.mp4 587370628 1481.83 1920 1080 44454 1481 30.0 1.0 0.63
2916 8795f7e7-c1ca-4ca0-b777-982a16fa68e1.mp4 373777944 1379.1 1440 1080 41373 1379 30.0 1.0 0.60
2917 b6ae365a-dd70-42c4-90d6-e0351778d991.mp4 219388392 492.53 1920 1080 14775 492 30.0 1.0 0.35
2918 2b7a8163-576a-4fa9-95b3-f32578f8cb50.mp4 247682217 1058.09 1440 1080 31742 1058 30.0 1.0 0.57
2919 54b8d9c0-c77f-4ccc-bf37-907b228fad09.mp4 484697558 708.03 1920 1440 21240 708 30.0 1.0 0.65
2920 097ef48a-e26f-41e2-82bd-f32fcc078f89.mp4 570983337 1477.71 1920 1080 44331 1477 30.0 1.0 0.60
2921 7b277350-9926-42ef-b5f7-3ee000f3350a.mp4 892859367 1945.97 1440 1080 58379 1945 30.0 1.0 0.61
2922 428d6c79-2040-4e2e-bc8c-50aed839b547.mp4 111258174 741.33 1440 1080 22239 741 30.0 1.0 0.30
2923 5819e52c-4e12-4f86-ad69-76fc215dfbcb.mp4 749158074 4222.62 1088 1080 126678 4222 30.0 1.0 0.63
2924 2a6b3d10-8da9-4f0e-a681-59ba48a55dbf.mp4 335490812 1667.39 1440 1080 50021 1667 30.0 1.0 0.58
2925 c358f002-1b99-4348-923d-e01f8309ff59.mp4 1759126965 531.57 2560 1920 15947 531 30.0 1.0 0.48
2926 f8ebc18b-4293-4330-91d9-9aae1b14c447.mp4 573157732 1085.6 2560 1920 32567 1085 30.0 1.0 0.45
2927 eb486644-f46f-44cf-8e4b-73245b2fc02e.mp4 2475469786 2473.67 2560 1920 74210 2473 30.0 1.0 0.46
2928 03634630-7d25-4d31-aeda-b9747f09034d.mp4 50052393 675.23 1440 1080 20256 675 30.0 1.0 0.26
2929 85c085a4-00e3-4d00-bf23-9ff5b958fe57.mp4 768855458 4137.93 1440 1080 124137 4137 30.0 1.0 0.70
2930 4d8a0a06-ac77-4c0f-a699-520566300df5.mp4 118681286 226.54 1920 1440 6796 226 30.0 1.0 0.68
2931 3b462f8a-f291-4519-8580-28d807676504.mp4 443681427 1060.07 2560 1920 31802 1060 30.0 1.0 0.41
2932 e5a9f6d7-e7df-4209-a825-0a391c4815ba.mp4 329624103 990.67 1440 1080 29720 990 30.0 1.0 0.28
2933 a4168afc-c19a-42dc-a8df-153072e4f455.mp4 316528819 708.03 1920 1440 21240 708 30.0 1.0 0.72
2934 cd4c731e-6ea7-4904-8a05-c6d2b3470d5d.mp4 923970384 1628.23 2560 1920 48846 1628 30.0 1.0 0.45
2935 20845f94-1702-4d40-ab47-f199e86ec879.mp4 4572302205 5648.93 1440 1080 169467 5648 30.0 1.0 0.74
2936 f26eb8a6-2ac4-4aa4-a500-1e738d8c8b13.mp4 1138497811 5292.17 1440 1080 158765 5292 30.0 1.0 0.72
2937 48243139-a18d-42fc-8fdb-217e6ae137a5.mp4 209484049 1556.04 1920 1080 46681 1556 30.0 1.0 0.60
2938 80d6bcbe-8f67-4119-9983-752663bc41b7.mp4 462188512 2311.67 1440 1080 69350 2311 30.0 1.0 1.06
2939 53bab63b-b6fa-494c-9dc7-c3fe61f234de.mp4 1089100555 1166.57 1920 1080 34997 1166 30.0 1.0 0.71
2940 2b21d0f3-cb6b-4b5e-a418-fbe2dd69e023.mp4 1145693402 1800.0 1920 1080 54000 1800 30.0 1.0 0.37
2941 efa0019b-6b57-4d02-accc-e03b470dfd94.mp4 870964631 2835.59 1920 1080 85067 2835 30.0 1.0 0.69
2942 a01446fe-4495-4424-b729-b3f5661140e5.mp4 36668711 484.42 1440 1080 14532 484 30.0 1.0 0.52
2943 9355f60b-99fc-4047-bb39-c92cf85c9812.mp4 1058256358 1501.0 1440 2880 45030 1501 30.0 1.0 0.45
2944 6d58453d-574c-437f-ba8b-0ff530cc452b.mp4 289087039 708.03 1920 1440 21240 708 30.0 1.0 0.68
2945 20e55bb1-416b-4332-bb51-db1e98c71616.mp4 1369470111 3571.37 1920 1080 107141 3571 30.0 1.0 0.67
2946 50d413f2-5709-475d-8999-6135dcd7d63f.mp4 278983730 566.27 1920 1440 16988 566 30.0 1.0 0.38
2947 2b4dd063-26d3-4e28-85bb-239132fe5382.mp4 2560797572 7310.23 1920 1080 219306 7310 30.0 1.0 0.43
